sensor0,sensor1,sensor2,target
853.531160510642,300.0729237433948,848.1890715392075,200.00015245207874
847.0014235360428,302.22181156757875,845.9131620918271,200.00000128884216
850.9006125700955,301.806133275911,848.8741310071663,200.00000832200496
847.2619243064125,300.4629566814657,846.0368984622696,200.00000183838196
846.432587219034,299.13437432453424,844.158434199121,200.00001176140083
844.8816831416917,300.1812415907193,845.2780488925788,199.99999993772863
842.2814048142078,299.1939735608905,845.9367416791837,199.99995115926183
844.9417686459796,297.5396132668179,842.9823330362103,200.0000075230334
846.8007843620679,297.7727370647366,842.5321886358904,200.0000777776963
845.1007794284433,300.17556176610617,846.1544260046734,199.999998830272
846.3357816917406,301.47457454062095,841.4243283622903,200.00011847591315
844.9293080032221,299.1874522690003,844.1090166676956,200.00000055195588
843.9202056966362,299.6605007699729,843.6141946666797,200.0000000286557
845.5319434013552,301.35175048988197,845.0409742610537,200.00000011834845
847.3382933014339,300.4621373867537,847.0893444684823,200.00000001542872
301.78061262575966,298.79519690546255,848.246731989322,36.81143509439059
847.420042728235,298.8111607960541,847.0722485660666,200.00000004206944
846.2905479223812,301.298885227412,845.997874175526,200.00000002506982
841.6447699785809,301.6335024655303,851.2098818171517,199.99912487486645
849.0664086445402,301.1146145526139,843.4466831423894,200.00017747831973
850.264431679557,302.04241738768724,844.9327112564825,200.0001515661103
851.1445109223167,300.23749197021215,846.7577209369001,200.0000844190635
846.3239086486833,303.46730307320587,847.7098417647686,199.99999733788496
850.6460453696499,298.58926456004644,849.4620861543822,200.00000165962598
848.313423730567,300.81848457839817,845.6864713111846,200.00001812828083
843.9315499420284,299.2931031980744,847.5457899162433,199.99995278815692
851.9756790445979,300.5442488203793,847.041463753817,200.00012013077654
846.1982218162448,300.692771474785,844.6775153503656,200.00000351670693
298.35555258506605,300.83089630266386,843.1370534606755,38.31599605974472
850.5221240436833,300.21082202468205,841.2010112997485,200.00080984756946
844.7733024772238,297.22069911125107,846.1873576326083,199.99999717252322
841.3829838690049,303.22745080962267,846.3572964977249,199.99987691667218
840.6179165645699,299.1181735398041,843.3977479754653,199.99997851895654
801.7486348681394,302.00737213538156,843.7205094796363,199.92606073990748
679.1754423621537,301.0217536406795,843.9849094939309,195.5234188090559
626.209081692907,300.5904612464429,846.3013257638472,189.3386005441953
508.4807796643819,300.0352938639526,846.4548046123621,161.3944297973972
299.9517110923263,300.50685730789047,843.9439258180876,39.01772772983557
807.5670360698523,299.8539094567584,846.1204873973834,199.94269536016796
753.2331473038735,301.00313124823333,848.0557428052556,199.14741926276193
687.5324649182136,300.4213150783098,847.5508723385385,195.9025861474729
511.09762459828835,298.56773925146894,845.9588309656942,162.45133398893648
295.95154903632465,301.1037470254883,847.5050063211272,32.21125193645878
848.8644165027448,300.51457666371476,848.3610353290251,200.00000012755308
848.3164859156287,302.13248658881,847.9986132406895,200.00000003211883
851.0549613613881,301.8408032133162,846.9845315842754,200.0000674405029
848.7007520502576,301.4742901426766,845.0471589509347,200.0000487708736
849.1911788744277,300.33738819419,845.7696424890581,200.00004005562275
846.0963335703902,298.28583662570406,848.077860153225,199.9999922196397
848.7194232279583,300.9576627519822,847.3411746776309,200.0000026180783
801.4705162755497,301.322707257401,846.809080108312,199.90680271146962
684.4563079949351,297.3864063772305,844.9829318012168,195.8634220259636
549.6832275450853,300.7870962220508,847.1531976125508,173.67736333032255
302.06335096113077,301.1063394407258,846.0006565905835,39.06647014925997
808.6182818143791,303.22358931975845,844.2097719869681,199.95491433131107
753.2648047305119,298.84851049965727,845.5377780223824,199.214360075853
600.7319292893606,301.52607129252374,846.9114173567376,185.0804545191783
299.1437505139397,300.40855341304535,848.0036517999671,34.65749635348104
755.338815145687,302.1903280186158,843.4107689758084,199.31685500142473
750.6400187300071,301.035462715021,844.784714847012,199.16557448807646
684.2113750559472,300.61176966116574,847.8793698383236,195.61579064168316
847.878803691156,298.5017117733712,847.3124945161875,200.0000001816188
847.089527722844,298.0140687344665,838.9988974083576,200.0005295988973
802.5719865425455,301.2642544221239,851.35276886927,199.88392297114635
685.6028871382556,300.7099566130858,847.2534575971321,195.7759239882094
516.3367648643289,298.67916945537735,846.4491534584699,164.02627013999037
300.3385497139633,298.9923569075237,850.3969414249606,33.57200389624424
800.9635125244404,299.1452152073139,846.2229240286068,199.90728997292092
688.0715398880943,302.96385633494384,845.8051378220109,196.07560576263086
633.6819920200488,301.9241849566956,851.5684254622496,189.65595097786783
516.8965164386344,302.41126792186776,849.9600426889301,163.05282588108764
850.0410472623877,300.4183837064066,850.5195865821152,199.99999989041456
844.9268469008304,300.5638058913554,849.8862876940274,199.9998780173315
845.2497440696217,304.7562660284062,846.7169859245271,199.9999968413237
846.3423719993135,300.19011659784474,845.8892174614548,200.00000009305484
798.6028118348743,299.28977438975716,846.3181915033825,199.89136365353045
803.8858489651356,299.85679681950063,845.5153287548935,199.92785554588104
682.4747548151798,299.7959787289871,850.8285646076032,195.22834708155546
628.3169920966541,298.2143029617591,846.4535580057483,189.62028532539975
847.7489367024051,301.90696676899313,847.1163636756074,200.00000025312323
847.758190739867,297.4758313261666,843.3655411331548,200.00008475780194
837.2452574589165,299.3940851290919,843.0459899932972,199.99980481406328
778.9337894372919,299.5717188888223,847.2060853053711,199.6817755659405
661.2494667206511,299.86873164375334,844.3791920784872,193.85847064135217
299.2012128594041,300.42610947694146,845.1792733110003,37.24828480280527
836.5530924441382,302.70881297245995,847.2884248333495,199.99876278126723
777.0938034364566,299.8405500627755,848.9796470194651,199.6285245472402
738.816016818246,301.8529137745948,849.4883195232151,198.64444595092894
515.0535682476358,297.6625715937992,842.7582644602895,164.80767210466774
806.7794959465652,299.15287004573014,845.2197292389164,199.94319873024787
683.1298273233542,299.244209303247,848.5483538545196,195.47360506584974
631.2127716143948,299.3457522270017,847.4631979427558,189.88721167371872
631.4932217758983,299.9120284170103,846.5620152387249,190.0520820137283
514.7474016664128,298.1964852245101,847.6372434736539,163.11059687415465
841.3960253183335,302.3121730183737,851.2763047318094,199.99903548790135
785.771584551118,301.8505680311889,849.5183536477078,199.74095540540878
742.3279765587071,301.4515984479578,850.9699459782706,198.7176904130848
517.5371180189309,298.44464205691924,849.5757248433644,163.39286431956845
300.73218424079624,301.3648544149934,848.2868780794097,35.83426375155298
806.0595376716778,300.6493959360317,850.0978381002099,199.9145933574211
846.578061209988,300.3612731144285,844.6452254693676,200.00000722079213
846.0384832062771,303.0785957935367,845.771058847509,200.00000001912505
801.5801199081951,301.0058252060698,847.4477267144058,199.90350201545658
681.8815560423774,298.9255438283555,846.1877218604849,195.5643059449153
468.17631392145245,299.83001478317254,847.3210959835214,145.4976472428138
844.0756867425793,300.47658564150623,843.7084219662117,200.00000004953793
763.9724053785301,301.25511071214896,846.5830246618217,199.4362226375908
505.8806072167697,300.2933114989932,841.7154593521133,162.12285011248122
300.87936016781674,297.8502939009552,843.8272989640369,39.943039166569974
679.409509211501,302.7454341140893,840.5130480016646,195.81866233405478
845.6408673730776,299.35956096088904,844.2828657243407,200.00000250438384
846.2259393140406,301.2719123111422,844.8209061745675,200.0000027737014
842.9525909174351,300.42695730713405,845.0994992040054,199.9999901044377
768.8230873749123,300.10434069441266,845.1486977487756,199.55535761587745
515.5715438449656,296.68186350852807,849.2738883620666,162.83982301553868
804.5519779553147,302.24547510767087,849.7109049599671,199.90790610463057
686.9437525321619,298.41556297448597,848.2419375519678,195.80348826618211
629.0326387945538,298.31914046462003,848.6645584180485,189.4053559016493
842.6586343812764,300.6841008504467,846.4263781968766,199.9999465135102
844.136054099503,301.99685997819,846.6420893463827,199.99998426156571
691.160349413077,301.2069700194663,847.4460580347115,196.18268675906256
299.8066978562384,301.34475914192325,850.6570571459258,32.852105196683965
518.4083943011684,302.12226557033034,848.643948258041,163.98598957840994
845.9934587451015,301.38147245439853,845.8053913399876,200.00000000665182
783.8504404936252,300.3296724454396,848.8057277468197,199.72594134430534
510.9751022658802,299.09577007655884,847.8337237364973,161.77539544968099
298.99635694419453,298.4909401486522,845.9213872458712,36.399962602650504
802.7485781020474,300.1187195051515,845.5358424046244,199.92166721645575
844.2280078707589,300.2121464813725,843.5404788888069,200.00000032499227
846.3828655724731,299.9880362044957,844.2353790611493,200.00000990355994
752.6159070066852,300.1579726939438,844.2941964693238,199.2294523419041
822.053341460975,299.977708477184,843.1194785888863,199.99065122472095
600.039093828381,299.59755313403355,847.2166262196216,184.8982604187803
299.717930764022,301.3132430569874,847.1392901694359,35.95416199689555
810.166101878447,299.8901396299729,846.4384772372025,199.9522769720578
745.4610137803278,301.80986311734415,842.5847048860109,199.083831117116
840.9868878074237,298.92051989692794,841.9658115925558,199.99999906190538
765.9885588948787,299.1549764076298,844.3176081304728,199.5194168217492
764.0440202338499,300.6424174136042,849.2201429747616,199.38204962422648
838.7150333783237,299.2799172306772,848.1188430018716,199.99916840573567
766.8062434025472,299.73837138018337,847.6380747636375,199.47186219586766
476.91631335246075,301.1924072941977,847.0520985519366,149.29121255031305
768.9208047040057,303.3036202216926,847.7594322641378,199.5099762086617
479.15364009885553,302.6777417700456,849.1214079189251,149.36023660313703
480.3456050364082,301.86236666068413,848.4708772015524,150.11305609975727
736.4485741675309,301.3242723452002,844.4673919106096,198.7396294147967
302.6752481113139,299.60803146682434,849.5121216067322,36.47906009183808
815.9111631445093,298.7909685965578,845.1082419049288,199.97511038354963
838.5175992371062,300.16014163817044,846.816449086491,199.9994284506687
765.3385380321834,300.9330180054054,843.6409319790249,199.51990728057953
510.00374849635267,299.0007079664621,846.752129237136,161.81291145019412
784.3230652382309,300.73634749092963,843.1292192138955,199.79663869031438
782.9878421926014,298.5850591719647,842.482722402767,199.78940949632914
844.5236956258649,299.13099392412175,844.3330497295483,200.00000000692918
838.7549177896105,299.70067498108864,844.6793570287256,199.99979205822387
765.6239009820863,299.8121625533949,845.786933436055,199.484863393451
843.1771407388775,300.4168302796216,844.9256617984092,199.9999946542013
737.1734994474467,300.96969221629763,844.0238136073791,198.78009107062456
299.5049398101126,300.0143358973093,845.03270004553,37.65064550326187
813.6642738915306,298.2611834496295,847.2531537018234,199.9621045942847
843.0364751614608,297.8700824360677,849.3184699015785,199.99975209076496
735.8040597714562,300.2731318114104,846.0051116604656,198.66168846908758
741.0162068332073,297.2326414120083,848.4997248253958,198.75827444800353
815.6881372781736,300.4817365100399,849.6256935392519,199.96091215740958
474.95184556628493,297.7623342521759,847.3181311785822,148.36893801803365
767.0748970165441,303.06323578270155,849.1061603760442,199.4480011150418
476.14404110313313,298.1213789463412,849.5595395241436,147.93126610584704
845.8312640484444,299.7406754831492,848.1359316751033,199.99998775877432
769.1692633261554,299.9425615691713,852.542312289857,199.42046849293482
